Threads
thread	group	parent	class	method
--------------------------------------------------------------
0x80a4b80	Finalizer	system	<unknown>	
0x80a3e38	Reference Handler	system	<unknown>	
0x8246ea8	Signal Dispatcher	system	<unknown>	
0x8244db0	jmp-gtk	system	<unknown>	



Classdump
class_name	#instaces	max #instances	size	#GC	tenure
--------------------------------------------------------------
Total	9510	9510	1598920	0	0
Total	9510	9510	1598920	0	0
int[]	20	20	592624	0	0
byte[]	880	880	489504	0	0
char[]	2128	2128	267232	0	0
java.lang.Object[]	942	942	56768	0	0
java.lang.String	1390	1390	33360	0	0
org.openscience.cdk.Atom	101	101	14544	0	0
short[]	139	139	9888	0	0
java.nio.HeapCharBuffer	195	195	9360	0	0
java.nio.HeapByteBuffer	180	180	8640	0	0
java.net.URL	145	145	8120	0	0
java.lang.Class	78	78	6864	0	0
java.util.jar.JarFile$JarFileEntry	71	71	6816	0	0
java.nio.DirectByteBuffer	119	119	6664	0	0
java.util.zip.ZipEntry	71	71	5680	0	0
java.util.HashMap$Entry	199	199	4776	0	0
java.util.zip.ZipFile$MappedZipFileInputStream	73	73	4672	0	0
java.lang.StringBuilder	281	281	4496	0	0
java.util.LinkedHashMap$Entry	130	130	4160	0	0
boolean[]	107	107	3808	0	0
java.util.Hashtable$Entry	152	152	3648	0	0
java.util.zip.ZipFile$2	71	71	3408	0	0
java.util.ArrayList	131	131	3144	0	0
java.lang.ref.Finalizer	95	95	3040	0	0
java.util.jar.JarFile	46	46	2576	0	0
java.lang.reflect.Field	35	35	2520	0	0
java.io.File	121	121	1936	0	0
sun.misc.URLClassPath$JarLoader	60	60	1920	0	0
sun.misc.Cleaner	46	46	1840	0	0
java.util.zip.Inflater	41	41	1640	0	0
java.io.DataInputStream	51	51	1632	0	0
java.util.HashMap	39	39	1560	0	0
java.lang.StringBuffer	94	94	1504	0	0
java.lang.ClassNotFoundException	46	46	1472	0	0
java.io.ExpiringCache$Entry	60	60	1440	0	0
java.net.Parts	60	60	1440	0	0
java.util.Vector	54	54	1296	0	0
java.security.PrivilegedActionException	37	37	1184	0	0
sun.misc.URLClassPath$3	61	61	976	0	0
sun.misc.FileURLMapper	60	60	960	0	0
java.util.Hashtable	23	23	920	0	0
java.lang.reflect.Constructor	13	13	832	0	0
java.lang.Integer	49	49	784	0	0
java.net.URLClassLoader$1	46	46	736	0	0
java.util.zip.ZipFile$ZipCloser	46	46	736	0	0
java.lang.Long	46	46	736	0	0
java.security.CodeSource	23	23	736	0	0
java.util.Locale	22	22	704	0	0
sun.misc.URLClassPath$JarLoader$1	22	22	704	0	0
java.util.regex.Pattern$Category	36	36	576	0	0
java.lang.Thread	6	6	576	0	0
java.util.concurrent.ConcurrentHashMap$Segment	16	16	512	0	0
java.lang.ref.SoftReference	16	16	512	0	0
java.util.jar.Attributes$Name	30	30	480	0	0
sun.reflect.Label$PatchInfo	19	19	456	0	0
sun.net.www.protocol.file.FileURLConnection	4	4	416	0	0
java.io.ObjectStreamField	12	12	384	0	0
java.util.concurrent.locks.ReentrantLock$NonfairSync	16	16	384	0	0
java.security.Provider$EngineDescription	24	24	384	0	0
java.io.FileNotFoundException	14	14	336	0	0
double[]	3	3	312	0	0
java.util.AbstractList$Itr	12	12	288	0	0
long[]	2	2	280	0	0
java.util.jar.JarVerifier	5	5	240	0	0
java.util.regex.Pattern$GroupTail	9	9	216	0	0
java.security.AccessControlContext	8	8	192	0	0
sun.reflect.Label	12	12	192	0	0
sun.net.www.ParseUtil	22	22	176	0	0
java.util.regex.Pattern$Ctype	11	11	176	0	0
java.lang.StackTraceElement	7	7	168	0	0
java.util.regex.Pattern$Range	7	7	168	0	0
java.io.FilePermission	5	5	160	0	0
java.lang.Object	20	20	160	0	0
sun.security.util.ManifestEntryVerifier	3	3	144	0	0
java.lang.RuntimePermission	6	6	144	0	0
java.lang.Package	3	3	144	0	0
java.util.regex.Pattern$GroupHead	9	9	144	0	0
sun.nio.cs.UTF_8$Encoder	3	3	144	0	0
sun.reflect.MethodAccessorGenerator	1	1	136	0	0
sun.reflect.ClassFileAssembler	4	4	128	0	0
java.security.ProtectionDomain	4	4	128	0	0
java.util.regex.Pattern$Curly	4	4	128	0	0
java.io.ByteArrayInputStream	5	5	120	0	0
java.util.jar.Manifest$FastInputStream	5	5	120	0	0
